ID,Name,Description,Category
GC01a,Grammatical Gender,"Agreement is taken as the defining characteristic of grammatical gender.
This is exemplified in ‎(1); the verb in Sawi takes a masculine
agreement suffix *-**u*** with the masculine noun ‘rain’ as a subject
and a feminine agreement suffix *-**i*** with the feminine noun ‘sun’.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Sawi
\[sdg\] (Indo-Aryan)

| a.  | **baʂ**                                               | uʈiʈ-**u**                                                 |
|-----|-------------------------------------------------------|------------------------------------------------------------|
|     | rain(<span style=""font-variant:small-caps;"">m</span>) | fall.<span style=""font-variant:small-caps;"">pfv-msg</span> |
|     | ‘It rained.’ (SDG-Val-FR:069)                         |

| b.  | **suri**                                             | ukeːt-**i**                                                  |
|-----|------------------------------------------------------|--------------------------------------------------------------|
|     | sun(<span style=""font-variant:small-caps;"">f</span>) | get.up.<span style=""font-variant:small-caps;"">pfv-fsg</span> |
|     | ‘The sun rose.’ (SDG-NW-FR:004a)                     |

A majority of our sample languages display evidence of two or more
genders lexically associated with nouns. Approximately a fifth of the
sample varieties lacks this property altogether, among them the Turkic
and Sino-Tibetan varieties.",Grammatical categories
GC01b,Sex-based Gender,"Differentiation in languages with gender categories (see Grammatical
Gender) may be based on or linked to a biological differentiation
between male and female referents, as in Ushojo ‎(1). In languages with
a masculine-feminine differentiation, nouns denoting inanimates or
non-humans can be assigned masculine or feminine gender too.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Ushojo
\[ush\] (Indo-Aryan)

| a.  | ek                                                              | **pʰoː**                                             | asil-**u**,                                              | se                                                    | seːkel-aː                                                 | jaː   | aːl-**u**                                                  |
|-----|-----------------------------------------------------------------|------------------------------------------------------|----------------------------------------------------------|-------------------------------------------------------|-----------------------------------------------------------|-------|------------------------------------------------------------|
|     | one                                                             | boy(<span style=""font-variant:small-caps;"">m</span>) | be.<span style=""font-variant:small-caps;"">pst-msg</span> | <span style=""font-variant:small-caps;"">3sg.nom</span> | bicycle-<span style=""font-variant:small-caps;"">loc</span> | going | come.<span style=""font-variant:small-caps;"">pfv-msg</span> |
|     | ‘There was a boy, he came riding on a bicycle.’ (USH-PS-AH:001) |

| b.  | ek                                                                    | **pʰui**                                              | ... | seːkal-aː                                                 | jaː   | muɕiːn  | tarapaja     | aːl-**i**                                                  |
|-----|-----------------------------------------------------------------------|-------------------------------------------------------|-----|-----------------------------------------------------------|-------|---------|--------------|------------------------------------------------------------|
|     | one                                                                   | girl(<span style=""font-variant:small-caps;"">f</span>) |     | bicycle-<span style=""font-variant:small-caps;"">loc</span> | going | to.near | in.direction | come.<span style=""font-variant:small-caps;"">pfv-fsg</span> |
|     | ‘A girl… came in his direction, riding on a bicycle.’ (USH-PS-AH:012) |

| c.  | axeːr                                       | **oːɕ**                                               | ɕoku  | bil-**i**                                                    |
|-----|---------------------------------------------|-------------------------------------------------------|-------|--------------------------------------------------------------|
|     | finally                                     | wind(<span style=""font-variant:small-caps;"">f</span>) | quiet | become.<span style=""font-variant:small-caps;"">pfv-fsg</span> |
|     | ‘Finally the wind gave up.’ (USH-NW-AH:007) |

A large majority of our sample languages display evidence of sex-based
noun classification. Only a fourth of the languages lack this property.",Grammatical categories
GC01c,Animacy-based Gender,"Differentiation in languages with gender categories (see Grammatical
Gender) may be based on animacy differentiation. Often nouns denoting
animates are distinguished from those denoting inanimates in such
systems. This property can be (but is not always) combined with
sex-based gender. In Pashai Chalas ‎(1), the target is a copula verb
with distinct forms for inanimate and animate agreement.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Pashai Chalas
\[aee(ch)\] (Indo-Aryan)

| a.  | **soːŋ **                               | suːsiːk | **ɕu**                                                      |
|-----|-----------------------------------------|---------|-------------------------------------------------------------|
|     | ground                                  | dry     | be.<span style=""font-variant:small-caps;"">3.inan.prs</span> |
|     | ‘The ground is dry.’ (AEEch-Val-ED:068) |

| b.  | mono                                     | **saːwoːm ** | lam   | **aːs**                                                       |
|-----|------------------------------------------|--------------|-------|---------------------------------------------------------------|
|     | my                                       | sister       | small | be.<span style=""font-variant:small-caps;"">3.an.fsg.prs</span> |
|     | ‘My sister is small.’ (AEEch-Gen-ED:002) |

Animacy-based differentiation of nouns is present in a smaller number of
the sample languages.",Grammatical categories
GC02a,Unique A Case,"Morphological case on nouns often expresses the syntactic and semantic
relationships between clausal constituents. In this study, we
investigated to what extent a unique case marker was used in the past
(or perfective) for the subject argument of a transitive clause (A),
vis-à-vis the subject of an intransitive clause (S), the direct object
of a transitive clause (P), and a recipient (R). This is the case in
Purik, as seen in ‎(1), in which the ergative case suffix ‑s is used
with the subject of transitive clauses, whereas the subject of an
intransitive clause is zero marked and the direct object is either zero
marked or takes a dative case marker.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Purik
\[prx\] (Sino-Tibetan)

| a.  | bomo-**s**                                             | ŋi                                                    | pʰila | mindoq | kʰur-e                                                   | soŋ                                                  |
|-----|--------------------------------------------------------|-------------------------------------------------------|-------|--------|----------------------------------------------------------|------------------------------------------------------|
|     | girl-<span style=""font-variant:small-caps;"">erg</span> | <span style=""font-variant:small-caps;"">1sg.gen</span> | sake  | flower | carry-<span style=""font-variant:small-caps;"">conj</span> | go.<span style=""font-variant:small-caps;"">pst</span> |
|     | ‘The girl brought flowers to me.’ (PRX-Val-MM:075)     |

| b.  | bomo                                | tɕoŋs |     |     |
|-----|-------------------------------------|-------|-----|-----|
|     | girl                                | jump  |     |     |
|     | ‘The girl jumped.’ (PRX-Val-MM:052) |

| c.  | butsʰa-**s**                                               | bomo | tɕʰu-juŋ   | pʰul-e                                                  | taŋ-s                                                  |
|-----|------------------------------------------------------------|------|------------|---------------------------------------------------------|--------------------------------------------------------|
|     | boy-<span style=""font-variant:small-caps;"">erg</span>      | girl | water-into | push-<span style=""font-variant:small-caps;"">conj</span> | give-<span style=""font-variant:small-caps;"">pst</span> |
|     | ‘The boy pushed the girl into the water.’ (PRX-Val-MM:074) |

| d.  | butsʰa-**s**                                          | bomo-la                                                | ɬta-s                                                  |     |
|-----|-------------------------------------------------------|--------------------------------------------------------|--------------------------------------------------------|-----|
|     | boy-<span style=""font-variant:small-caps;"">erg</span> | girl-<span style=""font-variant:small-caps;"">dat</span> | look-<span style=""font-variant:small-caps;"">pst</span> |     |
|     | ‘The boy looked at the girl.’ (PRX-Val-MM:003)        |

Unique case-marking of the A argument is present in a majority of the
sample languages. The languages lacking this property are primarily
found in the region’s northwest.",Grammatical categories
GC02b,Unique S Case,"Morphological case on nouns often expresses the syntactic and semantic
relationships between clausal constituents. In this study, we
investigated to what extent a unique case marker was used in the past
(or perfective) for the subject argument of an intransitive clause (S),
vis-à-vis the subject of a transitive clause (A), the direct object of a
transitive clause (P), and a recipient (R). This is the case in Hindko,
as seen in ‎(1), in which the subject of an intransitive clause is zero
marked, whereas the subject of a transitive subject is marked with an
ergative case clitic *=suɳ* and the (definite) object is marked with a
dative case clitic *=koː*.

(1) <span id=""_Ref12343426"" class=""anchor""></span>Hindko
\[hno\] (Indo-Aryan)

| a.  | sap                                | mər                                                   | ɡijaː                                                    |
|-----|------------------------------------|-------------------------------------------------------|----------------------------------------------------------|
|     | snake                              | die.<span style=""font-variant:small-caps;"">cvb</span> | go.<span style=""font-variant:small-caps;"">pfv.msg</span> |
|     | ‘The snake died.’ (HNO-Val-RH:061) |

| b.  | dʑandak                                           | ɖuːɡiː=bətɕ                                             | saːməɳĩː  | aː-jaː                                                     |
|-----|---------------------------------------------------|---------------------------------------------------------|-----------|------------------------------------------------------------|
|     | boy                                               | field=<span style=""font-variant:small-caps;"">loc</span> | appearing | come.<span style=""font-variant:small-caps;"">pfv-msg</span> |
|     | ‘The boy appeared on the field.’ (HNO-Val-RH:081) |

| c.  | dʑandk-aː=suɳ                                                                                           | suːʈiː=naːl                                             | sap=koː                                                 | ʈoː-jaː                                                    |     |
|-----|---------------------------------------------------------------------------------------------------------|---------------------------------------------------------|---------------------------------------------------------|------------------------------------------------------------|-----|
|     | boy-<span style=""font-variant:small-caps;"">obl</span>=<span style=""font-variant:small-caps;"">erg</span> | stick=<span style=""font-variant:small-caps;"">ins</span> | snake=<span style=""font-variant:small-caps;"">dat</span> | beat.<span style=""font-variant:small-caps;"">pfv-msg</span> |     |
|     | ‘The boy beat the snake with a stick.’ (HNO-Val-RH:027)                                                 |

Unique case-marking of the S argument is present in less than a quarter
of the sample languages. In the other languages its case marking is the
same as that for one or more of the other arguments, A, P or R.",Grammatical categories
GC02c,Unique P Case,"Morphological case on nouns often expresses the syntactic and semantic
relationships between clausal constituents. In this study, we
investigated to what extent a unique case marker was used in the past
(or perfective) for the object argument of a transitive clause (P),
vis-à-vis the subject of an intransitive clause (S), the subject of a
transitive clause (A), and a recipient (R). This is the case in Khowar,
as seen in (1), in which the oblique case suffix *-o* is used with the
(specific) object of transitive clauses, or the plural equivalent *-an*,
whereas the subject is zero marked, whether it occurs in a transitive or
an intransitive clause.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Khowar
\[khw\] (Indo-Aryan)

| a.  | ɖaq                                                    | aji-**o**                                               | ban-en                                                   | pr-aj                                                     |     |     |
|-----|--------------------------------------------------------|---------------------------------------------------------|----------------------------------------------------------|-----------------------------------------------------------|-----|-----|
|     | boy                                                    | snake-<span style=""font-variant:small-caps;"">obl</span> | stick-<span style=""font-variant:small-caps;"">inst</span> | hit.<span style=""font-variant:small-caps;"">pst-3sg</span> |     |     |
|     | ‘The boy hit the snake with a stick.’ (KHW-Val-AA:028) |

| b.  | aji                                | obrit-aj                                                  |     |     |
|-----|------------------------------------|-----------------------------------------------------------|-----|-----|
|     | snake                              | die.<span style=""font-variant:small-caps;"">pst-3sg</span> |     |     |
|     | ‘The snake died.’ (KHW-Val-AA:061) |

| c.  | kumoːru                                                      | tan                                                | waw-o=te                                                         | gamburi-**an**                                              | anzeːt-aj                                                  |
|-----|--------------------------------------------------------------|----------------------------------------------------|------------------------------------------------------------------|-------------------------------------------------------------|------------------------------------------------------------|
|     | girl                                                         | <span style=""font-variant:small-caps;"">refl</span> | grandmother-<span style=""font-variant:small-caps;"">obl</span>=to | flower-<span style=""font-variant:small-caps;"">obl.pl</span> | give.<span style=""font-variant:small-caps;"">pst-3sg</span> |
|     | ‘The girl sent flowers to her grandmother.’ (KHW-Val-AA:037) |

Unique case-marking of the P argument is present in approximately a
third of the sample. The languages displaying this property are
primarily found in the region’s northwest.",Grammatical categories
GC02d,Unique R Case,"Morphological case on nouns often expresses the syntactic and semantic
relationships between clausal constituents. In this study, we
investigated to what extent a unique case marker was used for the
recipient (R) of a ditransitive clause, vis-à-vis the subject of an
intransitive clause (S), the subject of a transitive clause (A), and the
direct object of a transitive clause (P). This is the case in Amla
Pashai , as seen in ‎(1), in which the cliticized case marker (or
postposition) *=ntiː* (or *=aːntiː*) ‘to’ is the unique marker of a
recipient noun phrase, whereas the subject of a transitive clause
receive an oblique case suffix (in the past/perfective), and the subject
of an intransitive clause as well as the object of a transitive clause
are zero marked.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Amla Pashai
\[psi(am)\] (Indo-Aryan)

| a.  | kiʈaːlik-iː                                                    | baː-staː**=ntiː**                                                     | gul    | gəɽ-eː-tɕ-in                                                 |
|-----|----------------------------------------------------------------|-----------------------------------------------------------------------|--------|--------------------------------------------------------------|
|     | girl-<span style=""font-variant:small-caps;"">obl</span>         | grandmother<span style=""font-variant:small-caps;"">-3sg.poss=</span>to | flower | send-<span style=""font-variant:small-caps;"">pst-f-3pl</span> |
|     | ‘The girl sent flowers to her grandmother.’ (PSIam-Val-NG:037) |

| b.  | kilaː-j                                                      | kiʈaːlik | warg-iː=kuːtɕa                                               | ʈeːla   | k-i-tɕ-aːn                                                                                                |
|-----|--------------------------------------------------------------|----------|--------------------------------------------------------------|---------|-----------------------------------------------------------------------------------------------------------|
|     | boy-<span style=""font-variant:small-caps;"">obl</span>        | girl     | water-<span style=""font-variant:small-caps;"">obl</span>=into | pushing | do-<span style=""font-variant:small-caps;"">pst</span>-<span style=""font-variant:small-caps;"">f-3fsg</span> |
|     | ‘The boy pushed the girl into the water.’ (PSIam-Val-NG:074) |

Unique case-marking of the R argument is present in the large majority
of the sample languages. The few languages lacking this property are
primarily found in the region’s south.",Grammatical categories
GC03,Multi-Value Distance Contrasts,"Distance contrasts expressed in adnominal demonstratives were
investigated. A three-way contrast in relation to the deictic centre was
regarded as the minimum for being classified as a multi-value distance
contrast, thus given a positive value, while a two-term system, like the
one reflected by English ‘this’ vs ‘that’ was given a negative value.
Pronominal demonstratives and referents out-of-sight were disregarded.
Shughni, as seen in (1), displays (at least) a three-way contrast: one
term (or set) is used with a referent proximal to the speaker (1a), a
second for a medial referent (1b), and a third for a distal one (1c).
All of these referents are visible to the speaker (and the addressee).

(1) <span id=""_Ref12281344"" class=""anchor""></span>Shughni
\[sgh(a)\] (Iranian)

| a.  | **jam**                                                                                           | aŋgixt | daːrð | kix-t                                                    |     |     |
|-----|---------------------------------------------------------------------------------------------------|--------|-------|----------------------------------------------------------|-----|-----|
|     | <span style=""font-variant:small-caps;"">prox.nom</span>                                            | finger | pain  | do.<span style=""font-variant:small-caps;"">prs-3sg</span> |     |     |
|     | ‘This finger hurts.’ \[Uttered as the speaker is pointing at her own finger.\] (SHGa-Dem-LL:001a) |

| b.  | tʃis                                                                                                                                          | **dam**                                                 | tʃaŋgin | tuː                                               | ðus=te  | tsa                                               |
|-----|-----------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------|---------|---------------------------------------------------|---------|---------------------------------------------------|
|     | look.<span style=""font-variant:small-caps;"">imp.sg</span>                                                                                     | <span style=""font-variant:small-caps;"">med.obl.f</span> | bug     | <span style=""font-variant:small-caps;"">2sg</span> | hand=on | <span style=""font-variant:small-caps;"">rel</span> |
|     | ‘Look at that bug on your arm.’ \[Uttered as the speaker is pointing at the addressee’s arm, who is sitting next to her.\] (SHGa-Dem-LL:003a) |

| c.  | ʒiːwdʒ-um                                                                                                                                                                     | **wam**                                                  | tuːp | amiːnat | zeː-m                                                     |
|-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------|------|---------|-----------------------------------------------------------|
|     | desire.<span style=""font-variant:small-caps;"">prs</span>-<span style=""font-variant:small-caps;"">1sg</span>                                                                    | <span style=""font-variant:small-caps;"">dist.obl.f</span> | ball | gift    | get.<span style=""font-variant:small-caps;"">prs-1sg</span> |
|     | ‘I would like to have that ball.’ \[Uttered as the speaker is pointing at a ball on the ground a few steps away from both the speaker and the addressee.\] (SHGa-Dem-LL:005b) |

Only a little less than half of the sample display multi-value distance
contrasts. There are no obvious geographical correlations.

This feature deserves a more thorough investigation, as there are in
many of the sample languages additional deictic parameters involved
(such as emphasis, elevation and other geomorphic properties), as well
as non-deictic distinctions expressed (such as case, number and gender)
that make the analysis of the limited material extremely challenging.
The present study should therefore be treated as preliminary in this
respect.",Grammatical categories
GC04a,Prepositional Coding of Source,"<span id=""_Hlk51063511"" class=""anchor""></span>The strategy for marking a
noun phrase as a source or an origin was investigated. <span
id=""_Hlk51060338"" class=""anchor""></span>The positive value of this
feature reflects the presence of a marker preceding the noun phrase,
whether clitical or adpositional. In Sanglechi this semantic role is
coded by a preposition, as shown in (1).

(1) <span id=""_Ref12281344"" class=""anchor""></span>Sanglechi
\[sgy\] (Iranian)

| a.  | xətsaːk                                                | wok | safad | **tsə ** | kitaːv | bidʒaːʁast                                             |
|-----|--------------------------------------------------------|-----|-------|----------|--------|--------------------------------------------------------|
|     | girl                                                   | a   | page  | \[from   | book\] | tear.<span style=""font-variant:small-caps;"">pst</span> |
|     | ‘The girl tore a page from the book.’ (SGY-Val-GM:032) |

| b.  | meːɽ                                             | **tsə ** | dəraχt | wat                                                    |     |     |
|-----|--------------------------------------------------|----------|--------|--------------------------------------------------------|-----|-----|
|     | apple                                            | \[from   | tree\] | fall.<span style=""font-variant:small-caps;"">pst</span> |     |     |
|     | ‘The apple fell from the tree.’ (SGY-Val-GM:084) |

This is a feature is a minority feature and limited to the Iranian
languages of the sample (primarily in the north of the region). It is
present (sometimes in addition to other coding, such as suffixing or a
postposition) in approximately a fifth of the languages.",Grammatical categories
GC04b,Postpositional Coding of Source,"The strategy for marking a noun phrase as a source or an origin was
investigated. The positive value of this feature reflects the presence
of a marker following the noun phrase, whether clitical or adpositional.
In Torwali, this semantic role is coded by a postposition, as shown in
(1).

(1) <span id=""_Ref12281344"" class=""anchor""></span>Torwali
\[trw\] (Indo-Aryan)

| a.  | seːrɛːn-eː                                               | kitaːb | **maː ** | paːʂ                                                  | pʰaːl-uː                                               |     |
|-----|----------------------------------------------------------|--------|----------|-------------------------------------------------------|--------------------------------------------------------|-----|
|     | girl-<span style=""font-variant:small-caps;"">erg</span>   | \[book | from\]   | leaf(<span style=""font-variant:small-caps;"">m</span>) | tear-<span style=""font-variant:small-caps;"">msg</span> |     |
|     | ‘The girl tore the page from the book.’ (TRW-Val-UD:032) |

| b.  | tʰaːm                                            | **maː ** | bʰawaj                                                 | laːr | gɛː                                                      |     |
|-----|--------------------------------------------------|----------|--------------------------------------------------------|------|----------------------------------------------------------|-----|
|     | \[tree                                           | from\]   | apple(<span style=""font-variant:small-caps;"">f</span>) | down | go.<span style=""font-variant:small-caps;"">pst.fsg</span> |     |
|     | ‘The apple fell from the tree.’ (TRW-Val-UD:084) |

This is a feature of nearly all the sample languages, either as the only
explicit marking or in addition to other coding, such as prepositions or
suffixes.",Grammatical categories
