description,family_pk,id,iso_code,jsondata,latitude,longitude,macroarea,markup_description,name,pk,representation,vol
,6,lsi92Indo-Aryan-Ahirwati,wtm,{},28.198402,76.616168,Eurasia,,Ahirwati,199,144,1
,,lsi21Tai-Kadai-Ahom,aho,{},27.28,88.46,Eurasia,,Ahom,62,72,1
,7,lsi33Tibeto-Burman-Aimol,aim,{},24.6437,94.3556,Eurasia,,Aimol,226,144,1
,6,lsi94Indo-Aryan-Ajiri of Hazara,gju,{},34.3768,73.1461,Eurasia,,Ajiri Of Hazara,107,216,1
,7,lsi33Tibeto-Burman-Anam,anm,{},24.66,93.98,Eurasia,,Anam,205,72,1
,7,lsi32Tibeto-Burman-Ao Naga,njo,{},26.3241,94.3824,Eurasia,,Ao Naga,180,72,1
,7,lsi33Tibeto-Burman-Asho Chin,csh,{},21.39,93.51,Eurasia,,Asho Chin,227,72,1
,6,lsi51Indo-Aryan-Assamese,asm,{},26.14,91.77,Eurasia,,Assamese,203,144,1
,7,lsi31Tibeto-Burman-Athpariya,aph,{},26.8794,87.3296,Eurasia,,Athpariya,188,72,1
,6,lsi61Indo-Aryan-Awadhi,awa,{},27.5907,82.4663,Eurasia,,Awadhi,201,72,1
,6,lsi94Indo-Aryan-Badhani,gbm,{},30.125563,78.654476,Eurasia,,Badhani,12,288,1
,6,lsi92Indo-Aryan-Bagri,bgq,{},28.36,71.27,Eurasia,,Bagri,223,72,1
,7,lsi31Tibeto-Burman-Bahing,bhj,{},27.3323,86.3949,Eurasia,,Bahing,48,72,1
,7,lsi31Tibeto-Burman-Balti,bft,{},34.4491,77.2859,Eurasia,,Balti,6,72,1
,6,lsi93Indo-Aryan-Bauria,bge,{},25.3,75.87,Eurasia,,Bauria,235,72,1
,7,lsi33Tibeto-Burman-Bawm,bgr,{},22.6138,92.6247,Eurasia,,Bawm,186,72,1
,6,lsi51Indo-Aryan-Bengali,ben,{},24.0,90.0,Eurasia,,Bengali,152,216,1
,6,lsi94Indo-Aryan-Bhadrawahi,bhd,{},32.980974,75.710122,Eurasia,,Bhadrawahi,164,144,1
,6,lsi94Indo-Aryan-Bhagati,bfz,{},30.905,77.097,Eurasia,,Bhagati,194,432,1
,6,lsi91Indo-Aryan-Bhattiyali,bht,{},32.4,76.03,Eurasia,,Bhattiyali,11,72,1
,6,lsi93Indo-Aryan-Bhilali,bhi,{},22.58,74.59,Eurasia,,Bhilali,124,72,1
,6,lsi93Indo-Aryan-Bhili-Mahi Kantha,bhb,{},23.83,73.0,Eurasia,,Bhili-Mahi Kantha,37,144,1
,6,lsi52Indo-Aryan-Bhojpuri-Shahabad,bho,{},25.389056,84.349854,Eurasia,,Bhojpuri-Shahabad,131,144,1
,7,lsi32Tibeto-Burman-Boro-Cooch Behar,brx,{},26.329833,89.44809,Eurasia,,Boro-Cooch Behar,39,216,1
,8,lsi41Dravidian-Brahui,brh,{},28.53,64.3,Eurasia,,Brahui,202,72,1
,6,lsi91Indo-Aryan-Braj Bhasha,bra,{},26.4758,78.0813,Eurasia,,Braj Bhasha,206,72,1
,7,lsi31Tibeto-Burman-Bunan,bfu,{},32.5,77.0,Eurasia,,Bunan,181,72,1
,6,lsi91Indo-Aryan-Bundeli,bns,{},24.8982,78.9542,Eurasia,,Bundeli,237,72,1
,3,lsi82Language isolate-Burushaski,bsk,{},36.22,74.82,,,Burushaski,139,72,1
,7,lsi31Tibeto-Burman-Byangsi,bee,{},29.92,80.6365,Eurasia,,Byangsi,135,72,1
,7,lsi31Tibeto-Burman-Chamba Lahuli,lae,{},32.548331,76.131685,Eurasia,,Chamba Lahuli,80,144,1
,6,lsi94Indo-Aryan-Chambeali,cdh,{},32.548331,76.131685,Eurasia,,Chambeali,83,72,1
,6,lsi92Indo-Aryan-Charotari,guj,{},22.554029,72.948936,Eurasia,,Charotari,125,288,1
,7,lsi31Tibeto-Burman-Chaudangsi,cdn,{},30.0,80.25,Eurasia,,Chaudangsi,147,72,1
,6,lsi61Indo-Aryan-Chhatisgarhi,hne,{},20.3601,82.0483,Eurasia,,Chhatisgarhi,191,72,1
,6,lsi81Indo-Aryan-Chibali,phr,{},32.232396,73.022671,Eurasia,,Chibali,127,144,1
,7,lsi31Tibeto-Burman-Chintang,ctn,{},26.961,87.1899,Eurasia,,Chintang,114,72,1
,7,lsi33Tibeto-Burman-Chiru,cdf,{},25.4643,94.4072,Eurasia,,Chiru,129,72,1
,6,lsi71Indo-Aryan-Chitpavani,gom,{},17.557101,73.502338,Eurasia,,Chitpavani,63,288,1
,7,lsi32Tibeto-Burman-Chote,brx,{},26.73,89.33,Eurasia,,Chote,38,216,1
,6,lsi94Indo-Aryan-Churahi,cdj,{},32.9,76.11,Eurasia,,Churahi,142,72,1
,7,lsi31Tibeto-Burman-Darma,rgk,{},29.977466,80.310956,Eurasia,,Darma,109,144,1
,6,lsi93Indo-Aryan-Dehvali,vas,{},19.6895076,73.1497121,Eurasia,,Dehvali,128,72,1
,6,lsi94Indo-Aryan-Dharti,srx,{},31.1,77.17,Eurasia,,Dharti,49,144,1
,7,lsi31Tibeto-Burman-Dhimal,dhi,{},26.68,88.22,Eurasia,,Dhimal,214,72,1
,6,lsi93Indo-Aryan-Dhodia-Kukna,dho,{},21.07,73.27,Eurasia,,Dhodia-Kukna,224,72,1
,6,lsi92Indo-Aryan-Dhundari,dhd,{},26.28,76.19,Eurasia,,Dhundari,154,72,1
,7,lsi31Tibeto-Burman-Digaru-Mishmi02,mhu,{},26.159134,91.901348,Eurasia,,Digaru-Mishmi02,106,72,1
,7,lsi32Tibeto-Burman-Dimasa,dis,{},25.4198,93.1806,Eurasia,,Dimasa,148,72,1
,6,lsi91Indo-Aryan-Dogri,dgo,{},32.5534,75.7111,Eurasia,,Dogri,76,72,1
,6,lsi82Indo-Aryan-Dras,scl,{},34.430057,75.744461,Eurasia,,Dras,31,288,1
,7,lsi32Tibeto-Burman-Dzuna,njm,{},25.592041,94.109732,Eurasia,,Dzuna,172,72,1
,6,lsi94Indo-Aryan-Eastern Gujuri,gju,{},35.238203,72.498662,Eurasia,,Eastern Gujuri,167,216,1
,6,lsi52Indo-Aryan-Eastern Magahi,mag,{},23.33421,86.360499,Eurasia,,Eastern Magahi,30,144,1
,6,lsi52Indo-Aryan-Eastern Maithili,mai,{},26.3817,86.2211,Eurasia,,Eastern Maithili,122,216,1
,6,lsi51Indo-Aryan-Eastern Malda,ben,{},25.077801,87.898448,Eurasia,,Eastern Malda,234,216,1
,7,lsi31Tibeto-Burman-Eastern Tamang -Murmi,taj,{},27.3239,87.0832,Eurasia,,Eastern Tamang -Murmi,13,72,1
,7,lsi31Tibeto-Burman-Eastern Tamang-Magari,mgp,{},27.4135,87.0617,Eurasia,,Eastern Tamang-Magari,102,72,1
,7,lsi33Tibeto-Burman-Fallam Chin,cfm,{},23.7893,92.3255,Eurasia,,Fallam Chin,72,72,1
,6,lsi94Indo-Aryan-Gaddi,gbk,{},32.36,76.57,Eurasia,,Gaddi,36,72,1
,6,lsi94Indo-Aryan-Garhwali,gbm,{},30.5061,78.7201,Eurasia,,Garhwali,64,288,1
,7,lsi32Tibeto-Burman-Garo,grt,{},26.7255,89.3332,Eurasia,,Garo,178,72,1
,6,lsi82Indo-Aryan-Gawar-Bati,gwt,{},35.1982,71.5428,Eurasia,,Gawar-Bati,42,72,1
,6,lsi82Indo-Aryan-Gilgiti,scl,{},34.65,75.29,Eurasia,,Gilgiti,193,288,1
,6,lsi94Indo-Aryan-Giripari,srx,{},30.56029,77.29426,Eurasia,,Giripari,25,144,1
,6,lsi71Indo-Aryan-Goan Konkani,gom,{},19.2414,73.9166,Eurasia,,Goan Konkani,4,288,1
,6,lsi92Indo-Aryan-Gujarati,guj,{},22.69,71.1,Eurasia,,Gujarati,51,288,1
,6,lsi82Indo-Aryan-Gurezi,scl,{},34.65584,74.774573,Eurasia,,Gurezi,77,288,1
,7,lsi31Tibeto-Burman-Gurung,gvr,{},27.3,88.16,Eurasia,,Gurung,87,72,1
,5,lsi41Munda-Gutob,pcj,{},19.1213,84.19,Eurasia,,Gutob,189,72,1
,7,lsi31Tibeto-Burman-Ha (Bhutan),dzo,{},27.41,89.58,Eurasia,,Ha (Bhutan),9,72,1
,6,lsi51Indo-Aryan-Hajong,haj,{},25.51,89.86,Eurasia,,Hajong,43,72,1
,7,lsi33Tibeto-Burman-Haka Chin,cnh,{},22.8735,92.8208,Eurasia,,Haka Chin,116,72,1
,6,lsi71Indo-Aryan-Halbi,hlb,{},21.0,81.0,Eurasia,,Halbi,185,72,1
,6,lsi91Indo-Aryan-Hindi,hin,{},25.0,77.0,Eurasia,,Hindi,149,72,1
,7,lsi33Tibeto-Burman-Hmar,hmr,{},24.75,93.55,Eurasia,,Hmar,70,72,1
,5,lsi41Munda-Ho,hoc,{},23.96,87.12,Eurasia,,Ho,207,72,1
,7,lsi33Tibeto-Burman-Hrangkhol,hra,{},24.46,93.35,Eurasia,,Hrangkhol,118,72,1
,,lsi31Tibeto-Burman-Hruso,hru,{},27.27,92.63,Eurasia,,Hruso,19,72,1
,6,lsi82Indo-Aryan-Indus Kohistani,mvy,{},35.3539615,72.6851504,Eurasia,,Indus Kohistani,57,72,1
,6,lsi94Indo-Aryan-Inner Siraji,kfx,{},31.58,77.06,Eurasia,,Inner Siraji,75,288,1
,6,lsi94Indo-Aryan-Jaunsari,jns,{},30.5587,77.9084,Eurasia,,Jaunsari,160,72,1
,5,lsi41Munda-Juang,jun,{},22.3571,84.3922,Eurasia,,Juang,233,72,1
,6,lsi81Indo-Aryan-Kacchi,kfr,{},25.0115052,66.7844969,Eurasia,,Kacchi,239,72,1
,7,lsi32Tibeto-Burman-Kachari,xac,{},26.69,92.32,Eurasia,,Kachari,220,144,1
,7,lsi31Tibeto-Burman-Kagate,syw,{},27.3,88.16,Eurasia,,Kagate,133,72,1
